,author_pair,co-paper_id,co-times,authors_paper_num,co-occurrence_val
4885,"('Izarzugaza JMG.', 'Ding Y')",[],0,"(1, 1)",0.0
4886,"('Izarzugaza JMG.', 'Palumbo GA')",[],0,"(1, 1)",0.0
4887,"('Izarzugaza JMG.', 'Shi LP')",[],0,"(1, 1)",0.0
4888,"('Izarzugaza JMG.', 'Huang Z')",[],0,"(1, 1)",0.0
4889,"('Izarzugaza JMG.', 'Chuai S')",[],0,"(1, 1)",0.0
4890,"('Izarzugaza JMG.', 'Torra R')",[],0,"(1, 1)",0.0
4891,"('Izarzugaza JMG.', 'Liu S')",[],0,"(1, 1)",0.0
4892,"('Izarzugaza JMG.', 'An T')",[],0,"(1, 1)",0.0
4893,"('Izarzugaza JMG.', 'Guida M.')",[],0,"(1, 1)",0.0
4894,"('Izarzugaza JMG.', 'Cao Y')",[],0,"(1, 1)",0.0
4895,"('Izarzugaza JMG.', 'Huang W')",[],0,"(1, 1)",0.0
4896,"('Izarzugaza JMG.', 'Zhao Q')",[],0,"(1, 1)",0.0
4897,"('Izarzugaza JMG.', 'Cavazzini F')",[],0,"(1, 1)",0.0
4898,"('Izarzugaza JMG.', 'Yeo W')",[],0,"(1, 1)",0.0
4899,"('Izarzugaza JMG.', 'Brunak S')",[14],1,"(1, 1)",1.0
4900,"('Izarzugaza JMG.', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[14],1,"(1, 1)",1.0
4901,"('Izarzugaza JMG.', 'Lamlertthon W')",[],0,"(1, 1)",0.0
4902,"('Izarzugaza JMG.', 'Guo J')",[],0,"(1, 1)",0.0
4903,"('Izarzugaza JMG.', 'Peng F')",[],0,"(1, 1)",0.0
4904,"('Izarzugaza JMG.', 'Bartoletti D')",[],0,"(1, 1)",0.0
4905,"('Izarzugaza JMG.', 'Hu R')",[],0,"(1, 1)",0.0
4906,"('Izarzugaza JMG.', 'Ferreira A')",[],0,"(1, 1)",0.0
4907,"('Izarzugaza JMG.', 'Gerasimov AV')",[],0,"(1, 1)",0.0
4908,"('Izarzugaza JMG.', 'Garosi G')",[],0,"(1, 1)",0.0
4909,"('Izarzugaza JMG.', 'Song G')",[],0,"(1, 1)",0.0
4910,"('Izarzugaza JMG.', 'Zhang M')",[],0,"(1, 1)",0.0
4911,"('Izarzugaza JMG.', 'Zhou C')",[],0,"(1, 1)",0.0
4912,"('Izarzugaza JMG.', 'Peng D')",[],0,"(1, 1)",0.0
4913,"('Izarzugaza JMG.', 'Chen YM.')",[],0,"(1, 1)",0.0
4914,"('Huang G.', 'Moloney D')",[],0,"(1, 1)",0.0
4915,"('Huang G.', 'Gil V')",[],0,"(1, 1)",0.0
4916,"('Huang G.', 'Gane EJ')",[],0,"(1, 1)",0.0
4917,"('Huang G.', 'Ars E')",[],0,"(1, 1)",0.0
4918,"('Huang G.', 'Tiribelli M')",[],0,"(1, 1)",0.0
4919,"('Huang G.', 'Sabattini E')",[],0,"(1, 1)",0.0
4920,"('Huang G.', 'Wang J')",[],0,"(1, 1)",0.0
4921,"('Huang G.', 'Cheng J.')",[],0,"(1, 1)",0.0
4922,"('Huang G.', 'Benevolo G')",[],0,"(1, 1)",0.0
4923,"('Huang G.', 'Kim Y')",[],0,"(1, 1)",0.0
4924,"('Huang G.', 'Gu R')",[1],1,"(1, 1)",1.0
4925,"('Huang G.', 'Huang L')",[],0,"(1, 1)",0.0
4926,"('Huang G.', 'Ariani F')",[],0,"(1, 1)",0.0
4927,"('Huang G.', 'Bruttini M')",[],0,"(1, 1)",0.0
4928,"('Huang G.', 'Garcia-Cazorla A')",[],0,"(1, 1)",0.0
4929,"('Huang G.', 'Wu H')",[],0,"(1, 1)",0.0
4930,"('Huang G.', 'Li J')",[1],1,"(1, 1)",1.0
4931,"('Huang G.', 'Sidorov SV')",[],0,"(1, 1)",0.0
4932,"('Huang G.', 'Li H')",[],0,"(1, 1)",0.0
4933,"('Huang G.', 'Martino B')",[],0,"(1, 1)",0.0
4934,"('Huang G.', 'Chen G')",[],0,"(1, 1)",0.0
4935,"('Huang G.', 'Richter VA')",[],0,"(1, 1)",0.0
4936,"('Huang G.', 'Zheng J')",[],0,"(1, 1)",0.0
4937,"('Huang G.', 'Ding J')",[],0,"(1, 1)",0.0
4938,"('Huang G.', 'Palandri F')",[],0,"(1, 1)",0.0
4939,"('Huang G.', 'Weiss KH')",[],0,"(1, 1)",0.0
4940,"('Huang G.', 'Yen CJ')",[],0,"(1, 1)",0.0
4941,"('Huang G.', 'Ma D')",[1],1,"(1, 1)",1.0
4942,"('Huang G.', 'Cheng Y')",[],0,"(1, 1)",0.0
4943,"('Huang G.', 'Miao C')",[],0,"(1, 1)",0.0
4944,"('Huang G.', 'Gao H')",[],0,"(1, 1)",0.0
4945,"('Huang G.', 'Teufel M')",[],0,"(1, 1)",0.0
4946,"('Huang G.', 'Dolling DI')",[],0,"(1, 1)",0.0
4947,"('Huang G.', 'Tonduti D')",[],0,"(1, 1)",0.0
4948,"('Huang G.', 'Nushtaeva AA')",[],0,"(1, 1)",0.0
4949,"('Huang G.', 'Yau M')",[],0,"(1, 1)",0.0
4950,"('Huang G.', 'Catani L')",[],0,"(1, 1)",0.0
4951,"('Huang G.', 'Zafeiriou Z')",[],0,"(1, 1)",0.0
4952,"('Huang G.', 'Ma X')",[1],1,"(1, 1)",1.0
4953,"('Huang G.', 'Avino M')",[],0,"(1, 1)",0.0
4954,"('Huang G.', 'Yuan Y')",[1],1,"(1, 1)",1.0
4955,"('Huang G.', 'Ross P')",[],0,"(1, 1)",0.0
4956,"('Huang G.', 'Zhu Y')",[],0,"(1, 1)",0.0
4957,"('Huang G.', 'Perez-Lopez R')",[],0,"(1, 1)",0.0
4958,"('Huang G.', 'Breccia M')",[],0,"(1, 1)",0.0
4959,"('Huang G.', 'Park SJ')",[],0,"(1, 1)",0.0
4960,"('Huang G.', 'Crespo M')",[],0,"(1, 1)",0.0
4961,"('Huang G.', 'Gross O')",[],0,"(1, 1)",0.0
4962,"('Huang G.', 'Tieghi A')",[],0,"(1, 1)",0.0
4963,"('Huang G.', 'Pichiecchio A')",[],0,"(1, 1)",0.0
4964,"('Huang G.', 'Bosi C')",[],0,"(1, 1)",0.0
4965,"('Huang G.', 'Bonifacio M')",[],0,"(1, 1)",0.0
4966,"('Huang G.', 'Polverelli N')",[],0,"(1, 1)",0.0
4967,"('Huang G.', 'Savige J')",[],0,"(1, 1)",0.0
4968,"('Huang G.', 'Bianchini D')",[],0,"(1, 1)",0.0
4969,"('Huang G.', 'Blanc JF')",[],0,"(1, 1)",0.0
4970,"('Huang G.', 'Chen W')",[1],1,"(1, 1)",1.0
4971,"('Huang G.', 'Hunt J')",[],0,"(1, 1)",0.0
4972,"('Huang G.', 'Carecchio M')",[],0,"(1, 1)",0.0
4973,"('Huang G.', 'Iurlo A')",[],0,"(1, 1)",0.0
4974,"('Huang G.', 'Storey H.')",[],0,"(1, 1)",0.0
4975,"('Huang G.', 'Ding C')",[],0,"(1, 1)",0.0
4976,"('Huang G.', ""D'Adda M"")",[],0,"(1, 1)",0.0
4977,"('Huang G.', 'Zhu J.')",[],0,"(1, 1)",0.0
4978,"('Huang G.', 'Ye X')",[],0,"(1, 1)",0.0
4979,"('Huang G.', 'Peck-Radosavljevic M')",[],0,"(1, 1)",0.0
4980,"('Huang G.', 'Mari F')",[],0,"(1, 1)",0.0
4981,"('Huang G.', 'Abruzzese E')",[],0,"(1, 1)",0.0
4982,"('Huang G.', 'Crugnola M')",[],0,"(1, 1)",0.0
4983,"('Huang G.', 'Huang C')",[],0,"(1, 1)",0.0
4984,"('Huang G.', 'de Oliveira FM')",[],0,"(1, 1)",0.0
4985,"('Huang G.', 'Heidel F')",[],0,"(1, 1)",0.0
4986,"('Huang G.', 'Shi Y')",[],0,"(1, 1)",0.0
4987,"('Huang G.', 'Ryoo BY')",[],0,"(1, 1)",0.0
4988,"('Huang G.', 'Yau T')",[],0,"(1, 1)",0.0
4989,"('Huang G.', 'Seed G')",[],0,"(1, 1)",0.0
4990,"('Huang G.', 'Bertan C')",[],0,"(1, 1)",0.0
4991,"('Huang G.', 'Chiapparini L')",[],0,"(1, 1)",0.0
4992,"('Huang G.', 'Xu J')",[1],1,"(1, 1)",1.0
4993,"('Huang G.', 'Miranda S')",[],0,"(1, 1)",0.0
4994,"('Huang G.', 'Quan L')",[],0,"(1, 1)",0.0
4995,"('Huang G.', 'Ping G')",[],0,"(1, 1)",0.0
4996,"('Huang G.', 'Juravlev ES')",[],0,"(1, 1)",0.0
4997,"('Huang G.', 'Renieri A')",[],0,"(1, 1)",0.0
4998,"('Huang G.', 'Xu YP')",[],0,"(1, 1)",0.0
4999,"('Huang G.', 'Nava Rodrigues D')",[],0,"(1, 1)",0.0
5000,"('Huang G.', 'Flinter F')",[],0,"(1, 1)",0.0
5001,"('Huang G.', 'Zhang Z.')",[],0,"(1, 1)",0.0
5002,"('Huang G.', 'Gale DP')",[],0,"(1, 1)",0.0
5003,"('Huang G.', 'Hu J')",[],0,"(1, 1)",0.0
5004,"('Huang G.', 'Balahonova EA')",[],0,"(1, 1)",0.0
5005,"('Huang G.', 'Shagam L')",[],0,"(1, 1)",0.0
5006,"('Huang G.', 'Riisnaes R')",[],0,"(1, 1)",0.0
5007,"('Huang G.', 'Isidori A')",[],0,"(1, 1)",0.0
5008,"('Huang G.', 'Perez Duenas B; Cerebral Calcification International Study Group.')",[],0,"(1, 1)",0.0
5009,"('Huang G.', 'Menale B')",[],0,"(1, 1)",0.0
5010,"('Huang G.', 'Stepanov GA')",[],0,"(1, 1)",0.0
5011,"('Huang G.', 'Jiang Y')",[],0,"(1, 1)",0.0
5012,"('Huang G.', 'Kocsis J')",[],0,"(1, 1)",0.0
5013,"('Huang G.', 'Reale C')",[],0,"(1, 1)",0.0
5014,"('Huang G.', 'Koval OA.')",[],0,"(1, 1)",0.0
5015,"('Huang G.', 'Mazzaferro V')",[],0,"(1, 1)",0.0
5016,"('Huang G.', 'Di Maio A')",[],0,"(1, 1)",0.0
5017,"('Huang G.', 'Boysen G')",[],0,"(1, 1)",0.0
5018,"('Huang G.', 'Panteghini C')",[],0,"(1, 1)",0.0
5019,"('Huang G.', 'Lin Y')",[1],1,"(1, 1)",1.0
5020,"('Huang G.', 'Christova R')",[],0,"(1, 1)",0.0
5021,"('Huang G.', 'Merle P')",[],0,"(1, 1)",0.0
5022,"('Huang G.', 'Aziz S')",[],0,"(1, 1)",0.0
5023,"('Huang G.', 'Zhu G')",[],0,"(1, 1)",0.0
5024,"('Huang G.', 'Choo SP')",[],0,"(1, 1)",0.0
5025,"('Huang G.', 'Yin K')",[],0,"(1, 1)",0.0
5026,"('Huang G.', 'Dao T')",[],0,"(1, 1)",0.0
5027,"('Huang G.', 'Hoefele J')",[],0,"(1, 1)",0.0
5028,"('Huang G.', 'Nagel M')",[],0,"(1, 1)",0.0
5029,"('Huang G.', 'Figueiredo I')",[],0,"(1, 1)",0.0
5030,"('Huang G.', 'Sumanasuriya S')",[],0,"(1, 1)",0.0
5031,"('Huang G.', 'Ma YT')",[],0,"(1, 1)",0.0
5032,"('Huang G.', 'Campistol J')",[],0,"(1, 1)",0.0
5033,"('Huang G.', 'Tang D')",[],0,"(1, 1)",0.0
5034,"('Huang G.', 'G\xc3\xa9rolami R')",[],0,"(1, 1)",0.0
5035,"('Huang G.', 'Sheng W')",[1],1,"(1, 1)",1.0
5036,"('Huang G.', 'Thongsawat S')",[],0,"(1, 1)",0.0
5037,"('Huang G.', 'Lim HY')",[],0,"(1, 1)",0.0
5038,"('Huang G.', 'Bergamaschi M')",[],0,"(1, 1)",0.0
5039,"('Huang G.', 'Zhou Q')",[],0,"(1, 1)",0.0
5040,"('Huang G.', 'Garavaglia B')",[],0,"(1, 1)",0.0
5041,"('Huang G.', 'Zhang T')",[],0,"(1, 1)",0.0
5042,"('Huang G.', 'Liang L')",[],0,"(1, 1)",0.0
5043,"('Huang G.', 'Orcesi S.')",[],0,"(1, 1)",0.0
5044,"('Huang G.', 'Kuligina EV')",[],0,"(1, 1)",0.0
5045,"('Huang G.', 'Nardocci N')",[],0,"(1, 1)",0.0
5046,"('Huang G.', 'Ding Y')",[],0,"(1, 1)",0.0
5047,"('Huang G.', 'Palumbo GA')",[],0,"(1, 1)",0.0
5048,"('Huang G.', 'Shi LP')",[],0,"(1, 1)",0.0
5049,"('Huang G.', 'Huang Z')",[],0,"(1, 1)",0.0
5050,"('Huang G.', 'Chuai S')",[],0,"(1, 1)",0.0
5051,"('Huang G.', 'Torra R')",[],0,"(1, 1)",0.0
5052,"('Huang G.', 'Liu S')",[1],1,"(1, 1)",1.0
5053,"('Huang G.', 'An T')",[],0,"(1, 1)",0.0
5054,"('Huang G.', 'Guida M.')",[],0,"(1, 1)",0.0
5055,"('Huang G.', 'Cao Y')",[1],1,"(1, 1)",1.0
5056,"('Huang G.', 'Huang W')",[],0,"(1, 1)",0.0
5057,"('Huang G.', 'Zhao Q')",[],0,"(1, 1)",0.0
5058,"('Huang G.', 'Cavazzini F')",[],0,"(1, 1)",0.0
5059,"('Huang G.', 'Yeo W')",[],0,"(1, 1)",0.0
5060,"('Huang G.', 'Brunak S')",[],0,"(1, 1)",0.0
5061,"('Huang G.', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[],0,"(1, 1)",0.0
5062,"('Huang G.', 'Lamlertthon W')",[],0,"(1, 1)",0.0
5063,"('Huang G.', 'Guo J')",[],0,"(1, 1)",0.0
5064,"('Huang G.', 'Peng F')",[],0,"(1, 1)",0.0
5065,"('Huang G.', 'Bartoletti D')",[],0,"(1, 1)",0.0
5066,"('Huang G.', 'Hu R')",[],0,"(1, 1)",0.0
5067,"('Huang G.', 'Ferreira A')",[],0,"(1, 1)",0.0
5068,"('Huang G.', 'Gerasimov AV')",[],0,"(1, 1)",0.0
5069,"('Huang G.', 'Garosi G')",[],0,"(1, 1)",0.0
5070,"('Huang G.', 'Song G')",[],0,"(1, 1)",0.0
5071,"('Huang G.', 'Zhang M')",[],0,"(1, 1)",0.0
5072,"('Huang G.', 'Zhou C')",[],0,"(1, 1)",0.0
5073,"('Huang G.', 'Peng D')",[],0,"(1, 1)",0.0
5074,"('Huang G.', 'Chen YM.')",[],0,"(1, 1)",0.0
5075,"('Moloney D', 'Gil V')",[6],1,"(1, 1)",1.0
5076,"('Moloney D', 'Gane EJ')",[],0,"(1, 1)",0.0
5077,"('Moloney D', 'Ars E')",[],0,"(1, 1)",0.0
5078,"('Moloney D', 'Tiribelli M')",[],0,"(1, 1)",0.0
5079,"('Moloney D', 'Sabattini E')",[],0,"(1, 1)",0.0
5080,"('Moloney D', 'Wang J')",[],0,"(1, 1)",0.0
5081,"('Moloney D', 'Cheng J.')",[],0,"(1, 1)",0.0
5082,"('Moloney D', 'Benevolo G')",[],0,"(1, 1)",0.0
5083,"('Moloney D', 'Kim Y')",[],0,"(1, 1)",0.0
5084,"('Moloney D', 'Gu R')",[],0,"(1, 1)",0.0
5085,"('Moloney D', 'Huang L')",[],0,"(1, 1)",0.0
5086,"('Moloney D', 'Ariani F')",[],0,"(1, 1)",0.0
5087,"('Moloney D', 'Bruttini M')",[],0,"(1, 1)",0.0
5088,"('Moloney D', 'Garcia-Cazorla A')",[],0,"(1, 1)",0.0
5089,"('Moloney D', 'Wu H')",[],0,"(1, 1)",0.0
5090,"('Moloney D', 'Li J')",[],0,"(1, 1)",0.0
5091,"('Moloney D', 'Sidorov SV')",[],0,"(1, 1)",0.0
5092,"('Moloney D', 'Li H')",[],0,"(1, 1)",0.0
5093,"('Moloney D', 'Martino B')",[],0,"(1, 1)",0.0
5094,"('Moloney D', 'Chen G')",[],0,"(1, 1)",0.0
5095,"('Moloney D', 'Richter VA')",[],0,"(1, 1)",0.0
5096,"('Moloney D', 'Zheng J')",[],0,"(1, 1)",0.0
5097,"('Moloney D', 'Ding J')",[],0,"(1, 1)",0.0
5098,"('Moloney D', 'Palandri F')",[],0,"(1, 1)",0.0
5099,"('Moloney D', 'Weiss KH')",[],0,"(1, 1)",0.0
5100,"('Moloney D', 'Yen CJ')",[],0,"(1, 1)",0.0
5101,"('Moloney D', 'Ma D')",[],0,"(1, 1)",0.0
5102,"('Moloney D', 'Cheng Y')",[],0,"(1, 1)",0.0
5103,"('Moloney D', 'Miao C')",[],0,"(1, 1)",0.0
5104,"('Moloney D', 'Gao H')",[],0,"(1, 1)",0.0
5105,"('Moloney D', 'Teufel M')",[],0,"(1, 1)",0.0
5106,"('Moloney D', 'Dolling DI')",[6],1,"(1, 1)",1.0
5107,"('Moloney D', 'Tonduti D')",[],0,"(1, 1)",0.0
5108,"('Moloney D', 'Nushtaeva AA')",[],0,"(1, 1)",0.0
5109,"('Moloney D', 'Yau M')",[],0,"(1, 1)",0.0
5110,"('Moloney D', 'Catani L')",[],0,"(1, 1)",0.0
5111,"('Moloney D', 'Zafeiriou Z')",[6],1,"(1, 1)",1.0
5112,"('Moloney D', 'Ma X')",[],0,"(1, 1)",0.0
5113,"('Moloney D', 'Avino M')",[],0,"(1, 1)",0.0
5114,"('Moloney D', 'Yuan Y')",[],0,"(1, 1)",0.0
5115,"('Moloney D', 'Ross P')",[],0,"(1, 1)",0.0
5116,"('Moloney D', 'Zhu Y')",[],0,"(1, 1)",0.0
5117,"('Moloney D', 'Perez-Lopez R')",[6],1,"(1, 1)",1.0
5118,"('Moloney D', 'Breccia M')",[],0,"(1, 1)",0.0
5119,"('Moloney D', 'Park SJ')",[],0,"(1, 1)",0.0
5120,"('Moloney D', 'Crespo M')",[6],1,"(1, 1)",1.0
5121,"('Moloney D', 'Gross O')",[],0,"(1, 1)",0.0
5122,"('Moloney D', 'Tieghi A')",[],0,"(1, 1)",0.0
5123,"('Moloney D', 'Pichiecchio A')",[],0,"(1, 1)",0.0
5124,"('Moloney D', 'Bosi C')",[],0,"(1, 1)",0.0
5125,"('Moloney D', 'Bonifacio M')",[],0,"(1, 1)",0.0
5126,"('Moloney D', 'Polverelli N')",[],0,"(1, 1)",0.0
5127,"('Moloney D', 'Savige J')",[],0,"(1, 1)",0.0
5128,"('Moloney D', 'Bianchini D')",[6],1,"(1, 1)",1.0
5129,"('Moloney D', 'Blanc JF')",[],0,"(1, 1)",0.0
5130,"('Moloney D', 'Chen W')",[],0,"(1, 1)",0.0
5131,"('Moloney D', 'Hunt J')",[6],1,"(1, 1)",1.0
5132,"('Moloney D', 'Carecchio M')",[],0,"(1, 1)",0.0
5133,"('Moloney D', 'Iurlo A')",[],0,"(1, 1)",0.0
5134,"('Moloney D', 'Storey H.')",[],0,"(1, 1)",0.0
5135,"('Moloney D', 'Ding C')",[],0,"(1, 1)",0.0
5136,"('Moloney D', ""D'Adda M"")",[],0,"(1, 1)",0.0
5137,"('Moloney D', 'Zhu J.')",[],0,"(1, 1)",0.0
5138,"('Moloney D', 'Ye X')",[],0,"(1, 1)",0.0
5139,"('Moloney D', 'Peck-Radosavljevic M')",[],0,"(1, 1)",0.0
5140,"('Moloney D', 'Mari F')",[],0,"(1, 1)",0.0
5141,"('Moloney D', 'Abruzzese E')",[],0,"(1, 1)",0.0
5142,"('Moloney D', 'Crugnola M')",[],0,"(1, 1)",0.0
5143,"('Moloney D', 'Huang C')",[],0,"(1, 1)",0.0
5144,"('Moloney D', 'de Oliveira FM')",[6],1,"(1, 1)",1.0
5145,"('Moloney D', 'Heidel F')",[],0,"(1, 1)",0.0
5146,"('Moloney D', 'Shi Y')",[],0,"(1, 1)",0.0
5147,"('Moloney D', 'Ryoo BY')",[],0,"(1, 1)",0.0
5148,"('Moloney D', 'Yau T')",[],0,"(1, 1)",0.0
5149,"('Moloney D', 'Seed G')",[6],1,"(1, 1)",1.0
5150,"('Moloney D', 'Bertan C')",[6],1,"(1, 1)",1.0
5151,"('Moloney D', 'Chiapparini L')",[],0,"(1, 1)",0.0
5152,"('Moloney D', 'Xu J')",[],0,"(1, 1)",0.0
5153,"('Moloney D', 'Miranda S')",[6],1,"(1, 1)",1.0
5154,"('Moloney D', 'Quan L')",[],0,"(1, 1)",0.0
5155,"('Moloney D', 'Ping G')",[],0,"(1, 1)",0.0
5156,"('Moloney D', 'Juravlev ES')",[],0,"(1, 1)",0.0
5157,"('Moloney D', 'Renieri A')",[],0,"(1, 1)",0.0
5158,"('Moloney D', 'Xu YP')",[],0,"(1, 1)",0.0
5159,"('Moloney D', 'Nava Rodrigues D')",[6],1,"(1, 1)",1.0
5160,"('Moloney D', 'Flinter F')",[],0,"(1, 1)",0.0
5161,"('Moloney D', 'Zhang Z.')",[],0,"(1, 1)",0.0
5162,"('Moloney D', 'Gale DP')",[],0,"(1, 1)",0.0
5163,"('Moloney D', 'Hu J')",[],0,"(1, 1)",0.0
5164,"('Moloney D', 'Balahonova EA')",[],0,"(1, 1)",0.0
5165,"('Moloney D', 'Shagam L')",[],0,"(1, 1)",0.0
5166,"('Moloney D', 'Riisnaes R')",[6],1,"(1, 1)",1.0
5167,"('Moloney D', 'Isidori A')",[],0,"(1, 1)",0.0
5168,"('Moloney D', 'Perez Duenas B; Cerebral Calcification International Study Group.')",[],0,"(1, 1)",0.0
5169,"('Moloney D', 'Menale B')",[],0,"(1, 1)",0.0
5170,"('Moloney D', 'Stepanov GA')",[],0,"(1, 1)",0.0
5171,"('Moloney D', 'Jiang Y')",[],0,"(1, 1)",0.0
5172,"('Moloney D', 'Kocsis J')",[],0,"(1, 1)",0.0
5173,"('Moloney D', 'Reale C')",[],0,"(1, 1)",0.0
5174,"('Moloney D', 'Koval OA.')",[],0,"(1, 1)",0.0
5175,"('Moloney D', 'Mazzaferro V')",[],0,"(1, 1)",0.0
5176,"('Moloney D', 'Di Maio A')",[],0,"(1, 1)",0.0
5177,"('Moloney D', 'Boysen G')",[6],1,"(1, 1)",1.0
5178,"('Moloney D', 'Panteghini C')",[],0,"(1, 1)",0.0
5179,"('Moloney D', 'Lin Y')",[],0,"(1, 1)",0.0
5180,"('Moloney D', 'Christova R')",[6],1,"(1, 1)",1.0
5181,"('Moloney D', 'Merle P')",[],0,"(1, 1)",0.0
5182,"('Moloney D', 'Aziz S')",[6],1,"(1, 1)",1.0
5183,"('Moloney D', 'Zhu G')",[],0,"(1, 1)",0.0
5184,"('Moloney D', 'Choo SP')",[],0,"(1, 1)",0.0
5185,"('Moloney D', 'Yin K')",[],0,"(1, 1)",0.0
5186,"('Moloney D', 'Dao T')",[],0,"(1, 1)",0.0
5187,"('Moloney D', 'Hoefele J')",[],0,"(1, 1)",0.0
5188,"('Moloney D', 'Nagel M')",[],0,"(1, 1)",0.0
5189,"('Moloney D', 'Figueiredo I')",[6],1,"(1, 1)",1.0
5190,"('Moloney D', 'Sumanasuriya S')",[6],1,"(1, 1)",1.0
5191,"('Moloney D', 'Ma YT')",[],0,"(1, 1)",0.0
5192,"('Moloney D', 'Campistol J')",[],0,"(1, 1)",0.0
5193,"('Moloney D', 'Tang D')",[],0,"(1, 1)",0.0
5194,"('Moloney D', 'G\xc3\xa9rolami R')",[],0,"(1, 1)",0.0
5195,"('Moloney D', 'Sheng W')",[],0,"(1, 1)",0.0
5196,"('Moloney D', 'Thongsawat S')",[],0,"(1, 1)",0.0
5197,"('Moloney D', 'Lim HY')",[],0,"(1, 1)",0.0
5198,"('Moloney D', 'Bergamaschi M')",[],0,"(1, 1)",0.0
5199,"('Moloney D', 'Zhou Q')",[],0,"(1, 1)",0.0
5200,"('Moloney D', 'Garavaglia B')",[],0,"(1, 1)",0.0
5201,"('Moloney D', 'Zhang T')",[],0,"(1, 1)",0.0
5202,"('Moloney D', 'Liang L')",[],0,"(1, 1)",0.0
5203,"('Moloney D', 'Orcesi S.')",[],0,"(1, 1)",0.0
5204,"('Moloney D', 'Kuligina EV')",[],0,"(1, 1)",0.0
5205,"('Moloney D', 'Nardocci N')",[],0,"(1, 1)",0.0
5206,"('Moloney D', 'Ding Y')",[],0,"(1, 1)",0.0
5207,"('Moloney D', 'Palumbo GA')",[],0,"(1, 1)",0.0
5208,"('Moloney D', 'Shi LP')",[],0,"(1, 1)",0.0
5209,"('Moloney D', 'Huang Z')",[],0,"(1, 1)",0.0
5210,"('Moloney D', 'Chuai S')",[],0,"(1, 1)",0.0
5211,"('Moloney D', 'Torra R')",[],0,"(1, 1)",0.0
5212,"('Moloney D', 'Liu S')",[],0,"(1, 1)",0.0
5213,"('Moloney D', 'An T')",[],0,"(1, 1)",0.0
5214,"('Moloney D', 'Guida M.')",[],0,"(1, 1)",0.0
5215,"('Moloney D', 'Cao Y')",[],0,"(1, 1)",0.0
5216,"('Moloney D', 'Huang W')",[],0,"(1, 1)",0.0
5217,"('Moloney D', 'Zhao Q')",[],0,"(1, 1)",0.0
5218,"('Moloney D', 'Cavazzini F')",[],0,"(1, 1)",0.0
5219,"('Moloney D', 'Yeo W')",[],0,"(1, 1)",0.0
5220,"('Moloney D', 'Brunak S')",[],0,"(1, 1)",0.0
5221,"('Moloney D', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[],0,"(1, 1)",0.0
5222,"('Moloney D', 'Lamlertthon W')",[],0,"(1, 1)",0.0
5223,"('Moloney D', 'Guo J')",[],0,"(1, 1)",0.0
5224,"('Moloney D', 'Peng F')",[],0,"(1, 1)",0.0
5225,"('Moloney D', 'Bartoletti D')",[],0,"(1, 1)",0.0
5226,"('Moloney D', 'Hu R')",[],0,"(1, 1)",0.0
5227,"('Moloney D', 'Ferreira A')",[6],1,"(1, 1)",1.0
5228,"('Moloney D', 'Gerasimov AV')",[],0,"(1, 1)",0.0
5229,"('Moloney D', 'Garosi G')",[],0,"(1, 1)",0.0
5230,"('Moloney D', 'Song G')",[],0,"(1, 1)",0.0
5231,"('Moloney D', 'Zhang M')",[],0,"(1, 1)",0.0
5232,"('Moloney D', 'Zhou C')",[],0,"(1, 1)",0.0
5233,"('Moloney D', 'Peng D')",[],0,"(1, 1)",0.0
5234,"('Moloney D', 'Chen YM.')",[],0,"(1, 1)",0.0
5235,"('Gil V', 'Gane EJ')",[],0,"(1, 1)",0.0
5236,"('Gil V', 'Ars E')",[],0,"(1, 1)",0.0
5237,"('Gil V', 'Tiribelli M')",[],0,"(1, 1)",0.0
5238,"('Gil V', 'Sabattini E')",[],0,"(1, 1)",0.0
5239,"('Gil V', 'Wang J')",[],0,"(1, 1)",0.0
5240,"('Gil V', 'Cheng J.')",[],0,"(1, 1)",0.0
5241,"('Gil V', 'Benevolo G')",[],0,"(1, 1)",0.0
5242,"('Gil V', 'Kim Y')",[],0,"(1, 1)",0.0
5243,"('Gil V', 'Gu R')",[],0,"(1, 1)",0.0
5244,"('Gil V', 'Huang L')",[],0,"(1, 1)",0.0
5245,"('Gil V', 'Ariani F')",[],0,"(1, 1)",0.0
5246,"('Gil V', 'Bruttini M')",[],0,"(1, 1)",0.0
5247,"('Gil V', 'Garcia-Cazorla A')",[],0,"(1, 1)",0.0
5248,"('Gil V', 'Wu H')",[],0,"(1, 1)",0.0
5249,"('Gil V', 'Li J')",[],0,"(1, 1)",0.0
5250,"('Gil V', 'Sidorov SV')",[],0,"(1, 1)",0.0
5251,"('Gil V', 'Li H')",[],0,"(1, 1)",0.0
5252,"('Gil V', 'Martino B')",[],0,"(1, 1)",0.0
5253,"('Gil V', 'Chen G')",[],0,"(1, 1)",0.0
5254,"('Gil V', 'Richter VA')",[],0,"(1, 1)",0.0
5255,"('Gil V', 'Zheng J')",[],0,"(1, 1)",0.0
5256,"('Gil V', 'Ding J')",[],0,"(1, 1)",0.0
5257,"('Gil V', 'Palandri F')",[],0,"(1, 1)",0.0
5258,"('Gil V', 'Weiss KH')",[],0,"(1, 1)",0.0
5259,"('Gil V', 'Yen CJ')",[],0,"(1, 1)",0.0
